1,101,1,,,2021-01-01 18:05:02.000
2,101,1,,,2021-01-01 19:00:52.000
3,102,1,,,2021-01-02 23:51:23.000
3,102,2,,NaN,2021-01-02 23:51:23.000
4,103,1,4,,2021-01-04 13:23:46.000
4,103,1,4,,2021-01-04 13:23:46.000
4,103,2,4,,2021-01-04 13:23:46.000
5,104,1,NULL,1,2021-01-08 21:00:29.000
6,101,2,NULL,NULL,2021-01-08 21:03:13.000
7,105,2,NULL,1,2021-01-08 21:20:29.000
8,102,1,NULL,NULL,2021-01-09 23:54:33.000
9,103,1,4,"1,5",2021-01-10 11:22:59.000
10,104,1,NULL,NULL,2021-01-11 18:34:49.000
10,104,1,"2,6","1,4",2021-01-11 18:34:49.000
